入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
21,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,"HIGH WIN INTERNATIONAL CO.,LTD",1
29,女,食品製造関係,そう菜製造業,埼玉県,草加市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,"GREAT MYANMAR CO.,LTD",1
25,男,食品製造関係,加熱性水産加工食品製造業,宮城県,塩竈市,"M.H.E CO.,LTD",マンダレー校,JOP協同組合,"HIGH WIN INTERNATIONAL CO.,LTD",1
19,女,食品製造関係,そう菜製造業,宮城県,登米市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,"GREAT MYANMAR CO.,LTD",1
24,女,食品製造関係,そう菜製造業,宮城県,登米市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,"GREAT MYANMAR CO.,LTD",1
26,女,食品製造関係,食鳥処理加工業,宮城県,角田市,"M.H.E CO.,LTD",ヤンゴン学校,JOP協同組合,"AUNG THAIN KHA NGAR PON",1
24,男,その他,工業包装,福井県,福井市,"M.H.E CO.,LTD",マンダレー校,日中ネットワークサービス協同組合,"SMART SPACE CONSTRUCTION COMPANY LIMITED",1
26,女,繊維・衣服関係,婦人子供服製造,宮城県,仙台市,"SUT ZAI CO.,LTD",ヤンゴン学校,日中ネットワークサービス協同組合,"ATM TEXTILE CO.,LTD",1
30,女,繊維・衣服関係,婦人子供服製造,宮城県,仙台市,"SUT ZAI CO.,LTD",ヤンゴン学校,日中ネットワークサービス協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,男,その他,塗装,大分県,大分市,"TOP COMET CO.,LTD",マンダレー校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
26,男,建設関係,とび,東京都,新宿区,"SUT ZAI CO.,LTD",ミッチーナー学校,一般社団法人日中科学技術文化センター,"MAY KINN SAN COMPANY LIMITED",1
29,女,農業・林業関係,耕種農業,福岡県,遠賀郡,"SUT ZAI CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,とび,鹿児島県,鹿屋市,"SUT ZAI CO.,LTD",ヤンゴン学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
26,女,その他,介護,福岡県,北九州市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,女,農業・林業関係,畜産農業,岩手県,久慈市,"SUT ZAI CO.,LTD",ヤンゴン学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,男,その他,ビルクリーニング,福岡県,福岡市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,とび,神奈川県,相模原市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,男,建設関係,鉄筋施工,福岡県,飯塚市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,その他,工業包装,大分県,由布市,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,男,建設関係,建設機械施工,福岡県,朝倉郡,"MOE YAN GENERAL SERVICES CO.,LTD",ヤンゴン学校,エフ・アドバンス経済協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"SUT ZAI CO.,LTD",MK日本語学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,建設機械施工,北海道,旭川市,"SUT ZAI CO.,LTD",ヤンゴン学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,女,機械・金属関係,電子機器組立て,鳥取県,米子市,"SUT ZAI CO.,LTD",ヤンゴン学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,その他,塗装,茨城県,大分市,"SUT ZAI CO.,LTD",ヤンゴン学校,健康生活事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,女,その他,介護,群馬県,佐波郡玉村町,"SUT ZAI CO.,LTD",KP日本語学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
30,女,その他,介護,鹿児島県,鹿児島市,"SUT ZAI CO.,LTD",ヤンゴン学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
26,男,建設関係,建設機械施工,鹿児島県,鹿児島市,"SUT ZAI CO.,LTD",ヤンゴン学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,建設機械施工,京都府,綴喜郡井手町,"SUT ZAI CO.,LTD",ヤンゴン学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,左官,福井県,福井市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,型枠施工,北海道,釧路郡釧路町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,健康生活事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,建設機械施工,埼玉県,鶴ヶ島市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,とび,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,建設機械施工,北海道,札幌市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,型枠施工,神奈川県,高座郡寒川町,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,健康生活事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
22,男,その他,塗装,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,男,建設関係,とび,滋賀県,長浜市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
28,女,その他,ビルクリーニング,山形県,米沢市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,一般社団法人日中科学技術文化センター,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,建設機械施工,福岡県,大牟田市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,アシスト国際事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,男,建設関係,建築大工,埼玉県,川口市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,建設機械施工,茨城県,稲敷郡阿見町,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,建設機械施工,愛知県,西尾市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,その他,紙器・段ボール箱製造,福岡県,田川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,とび,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,男,建設関係,防水施工,東京都,江東区,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,冷凍空気調和機器施工,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,建築大工,福岡県,朝倉市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,九州産業振興協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,とび,栃木県,小山市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,左官,京都府,京都市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,機械・金属関係,鉄工,大阪府,大阪市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
26,男,建設関係,防水施工,兵庫県,尼崎市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,女,繊維・衣服関係,婦人子供服製造,岩手県,奥州市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,建設機械施工,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,その他,塗装,埼玉県,川越市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,農業・林業関係,耕種農業,三重県,津市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,"MAY KINN SAN COMPANY LIMITED",1
28,男,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,とび,埼玉県,越谷市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
19,男,建設関係,型枠施工,鹿児島県,曾於市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,アジアアグリ協同組合,"MAY KINN SAN COMPANY LIMITED",1
28,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,ハンズ協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ハンズ協同組合,"MAY KINN SAN COMPANY LIMITED",1
